name,employee_id,salary,dob,join_date,year_of_service,weight,address,email
Aishwarya Menon,0194-826-537,90000,1984-12-15,2009-05-24,,150 lbs,"123 Elm St Apt 5, New York, NY 10001",aishwarya.menon@gmail.com
"Al-Farsi, Ahmed",426-930-0187,800K,1980-05-21,2015-05-24,7 years,68.5 kg,"456 Maple Ave #101, Los Angeles, CA 90210",ahmed.alfarsi@yahoo.com
"Al-Farsi, Ahmed",426 930 0187,800K,1980-05-21,2015-05-24,,68.5 kg,"456 Maple Ave APT 101, Los Angeles, CA 90210",ahmed.alfarsi@yahoo.com
"Al-Farsi, Ahmed M.",0654-890-127,500K,1978-10-03,2010-06-02,12 years,75.2 kg,"987 Pine Blvd, San Francisco, CA 94102",ahmed.m.alfarsi@gmail.com
Alice B. Brown,0632 750 194,"$950,000 ",1983-12-08,2018-10-15,3 years,200 lbs,"654 Birch Rd, Apt 305, Boston, MA 02108",alice.brown@gmail.com
Alice K Brown,0429-581-0763,780K,1983-10-02,2015-07-01,,90.3 kg,"321 Cedar Dr, Seattle, WA 98101",alice.88-brown@yahoo.com
"Chen, Mei",00482-679-013,"$25,000 ",1990-05-15,2005-08-23,16 years,160 lbs,"111 Willow Cir #7, Houston, TX 77002",mei.chen@yahoo.com
"Chen, Mei",0983-567-0124,"33,000",1977-09-18,2014-12-22,,72.6 kg,"222 Spruce Ct, Atlanta, GA 30301",mei.chen@yahoo.com
"Choudhary-Smith, Meera",0502-349-0186,42K,1971-08-16,2012-12-14,,145 pounds,"333 Fir Pl, Miami, FL 33101",meera.choudhary-smith@gmail.com
"Chris Davis, Esq.",105-297-384,15K,1972-07-19,2009-09-28,12 years,65.7 kg,"444 Poplar Ln, Unit 12, Dallas, TX 75201",chris.davis.esq@gmail.com
"Da Silva, Maria",0614 208 357,"$250,000 ",1996-06-15,2006-08-16,,185 lbs,"555 Sycamore Ave Apt 201, Washington, DC 20001",maria.da.silva@gmail.com
"Desai, Professor Arjun",0736-150-824,"850,000",1980-11-30,2016-09-21,,84.0 kg,"666 Ash St, Phoniex, AZ 85001",arjun.desai@gmail.com
Dr. Robert Johnson,0532 941 687,"$35,000 ",1999-08-03,2018-09-10,,170 lbs,"777 Redwood Rd, Denver, CO 80202",dr.robert.johnson@gmail.com
"Garcia, Javier",0952-864-301,120K,1986-09-22,2013-03-11,,77.1 kg,"888 Magnolia Blvd, Philadelpia, PA 19101",javier.garcia@yahoo.com
"Garcia, Javier",0314-728-0569,"95,000",1968-09-20,2018-09-06,,155 pounds,"999 Cedar St, Detroit, MI 48201",javier.garcia202@yahoo.com
Hui Yang,0349-761-802,120000,1986-11-18,2016-02-12,6 years,70.2 kg,"101 Oakwood Dr #305, Las Vegas, NV 89101",hui.yang@gmail.com
"Iyer, Esq., Siddharth",0419 587 306,"$175,000 ",1991-03-27,2019-02-26,3 years,195 lbs,"202 Birch Ave, San Antonio, TX 78201",siddharth.iyer.esq@gmail.com
Jamal Williams,0238-617-495,650K,1970-09-03,2013-07-12,,88.5 kg,"303 Maple Rd, Orlando, FL 32801",jamal.williams@yahoo.com
Jane Smith,0850 694 271,"$19,000 ",1994-07-01,2019-07-19,,140 lbs,"404 Willow Ln #8, San Diego, CA 92101",jane.smith@gmail.com
Jane Smith,850694271,"$19,000 ",1994-07-01,2019-07-19,,140 lbs,"404 Willow Ln #8, San Diego, CA 92101",jane.smith@gmail.com
John Doe,0580-796-321,200000,1996-09-22,2010-08-18,11 years,175 lbs,"606 Cedar Pl, Apt 502, New Orleans, LA 70112",john.doe@yahoo.com
"Kapoor, PhD, Ananya",703-182-965,85K,1975-06-30,2014-11-08,7 years,79.8 kg,"707 Elm Ct #3, St. Louis, MO 63101",ananya.kapoor.phd@gmail.com
