,First Name,Middle Name,Last Name,Title,EmployeeID,Salary,DOB,JoinDate,Year of Service,Weight,Address,Email,Changes
0,Ahmed,,Al-Farsi,,4269-300-187,800000.0,1980-05-21,2015-05-24,7 years,68.5 lbs,"456 Maple Ave Apt101, Los Angeles, CA 90210",ahmed.alfarsi@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
1,Ahmed,,Al-Farsi,,4269-300-187,800000.0,1980-05-21,2015-05-24,,68.5 lbs,"456 Maple Ave Apt 101, Los Angeles, CA 90210",ahmed.alfarsi@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
2,Ahmed,M.,Al-Farsi,,0654-890-127,500000.0,1978-03-10,2010-06-02,12 years,75.2 lbs,"987 Pine Blvd, San Francisco, CA 94102",ahmed.m.alfarsi@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
3,Aishwarya,,Menon,,0194-826-537,90000.0,1984-12-15,2009-05-24,,150.0 lbs,"123 Elm St Apt 5, New York, NY 10001",aishwarya.menon@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
4,Akira,,Takahashi,,1985-437-06,30000.0,1995-04-03,2012-03-07,9 years,225.0 lbs,"986 Spruce Ln, Jacksonvill, FL 32201",akira.takahashi@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
5,Akira,,Takahashi,,0143-297-865,42000.0,1971-05-21,2014-10-30,,102.1 lbs,"109 Elm Dr Apt302, Charleston, SC 29401",akira.takahashi@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
6,Alice,B.,Brown,,0632-750-194,950000.0,1983-08-12,2018-10-15,3 years,200.0 lbs,"654 Birch Rd, Apt 305, Boston, MA 02108",alice.brown@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
7,Alice,K,Brown,,04295810763,780000.0,1983-02-10,2015-07-01,,90.3 lbs,"321 Cedar Dr, Seattle, WA 98101",alice.88-brown@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
8,Ananya,,Kapoor,PhD,7031-829-65,85000.0,1975-06-30,2014-11-08,7 years,79.8 lbs,"707 Elm Ct Apt3, St. Louis, MO 63101",ananya.kapoor.phd@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
9,Ananya,,Kapoor,PhD,07963510482,29000.0,1998-06-09,2019-03-19,,150.0 lbs,"808 Redwood Dr, Indianapolis, IN 46201",ananya.kapoor.phd@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
